パーツID,選択画面用名称,HUD表示用名称,頻出フラグ
AB,A（アサルト）,A,
AB,B（バンパー）,B,
AB,C（チャージ）,C,
AB,D（デュアル）,D,
AB,E（イレイズ）,E,
AB,F（フリー）,F,1
AB,G（グラビティ）,G,
AB,H（ヘビー）,H,1
AB,J（ジャギー）,J,
AB,K（ナックル）,K,
AB,M（マッシブ）,M,
AB,O（オッド）,O,
AB,Q（クエル）,Q,
AB,R（ラウンド）,R,
AB,S（スラッシュ）,S,
AB,T（ターン）,T,
AB,V（ヴァーチカル）,V,
AB,W（ウィール）,W,1
AB,Z（ジリオン）,Z,
BT,A（アクセル）,A,
BT,B（ボール）,B,1
BT,BS（バウンドスパイク）,BS,
BT,C（サイクロン）※左回転,C,
BT,D（ドット）,D,
BT,DB（ディスクボール）,DB,
BT,DS（ディスクスパイク）,DS,
BT,E（エレベート）,E,1
BT,F（フラット）,F,
BT,FB（フリーボール）,FB,1
BT,FF（フリーフラット）,FF,1
BT,G（グライド）,G,
BT,GB（ギヤボール）,GB,
BT,GF（ギヤフラット）,GF,
BT,GN（ギヤニードル）,GN,
BT,GP（ギヤポイント）,GP,
BT,GR（ギヤラッシュ）,GR,
BT,GU（ギヤユナイト）,GU,
BT,H（ヘキサ）,H,1
BT,HN（ハイニードル）,HN,
BT,HT（ハイテーパー）,HT,
BT,I（イグニッション）,I,1
BT,J（ジョルト）,J,1
BT,K（キック）,K,1
BT,L（レベル）,L,1
BT,LF（ローフラット）,LF,1
BT,LO（ローオーブ）,LO,1
BT,LR（ローラッシュ）,LR,1
BT,M（マージ）,M,
BT,MN（メタルニードル）,MN,
BT,N（ニードル）,N,
BT,Nr（ナロー）,Nr,1
BT,O（オーブ）,O,
BT,P（ポイント）,P,1
BT,Q（クエイク）,Q,
BT,R（ラッシュ）,R,1
BT,RA（ラバーアクセル）,RA,
BT,S（スパイク）,S,
BT,T（テーパー）,T,1
BT,TK（トランスキック）,TK,
BT,TP（トランスポイント）,TP,
BT,U（ユナイト）,U,
BT,UF（アンダーフラット）,UF,1
BT,UN（アンダーニードル）,UN,1
BT,V（ボルテックス）※右回転,V,
BT,W（ウェッジ）,W,1
BT,WB（ウォールボール）,WB,
BT,WW（ウォールウェッジ）,WW,
BT,Y（イールディング）,Y,
BT,Z（ザップ）,Z,
BT,特殊（ビットなし）,,
BX,Suppress Superion,Suppress Superion.,
BX,ヴァイスタイガー,ヴァイスタイガー,
BX,ヴァイパーテイル,ヴァイパーテイル,
BX,ウィザードアロー,ウィザードアロー,
BX,クリムゾンガルーダ,クリムゾンガルーダ,
BX,クロコクランチ,クロコクランチ,
BX,コバルトドラグーン,コバルトドラグーン,1
BX,コバルトドレイク,コバルトドレイク,
BX,サムライカリバー,サムライカリバー,1
BX,サムライスチール,サムライスチール,
BX,シェルタードレイク,シェルタードレイク,
BX,シノビナイフ,シノビナイフ,
BX,シャークエッジ,シャークエッジ,
BX,シャークギル,シャークギル,
BX,ストームスプリガン,ストームスプリガン,
BX,スフィンクスカウル,スフィンクスカウル,
BX,ティラノビート,ティラノビート,1
BX,ティラノロア,ティラノロア,
BX,ドランストライク,ドランストライク,1
BX,ドランソード,ドランソード,
BX,ドランソードv2,ドランソードv2,1
BX,ドランダガー,ドランダガー,
BX,トリケラスパイキー,トリケラスパイキー,
BX,トリケラプレス,トリケラプレス,
BX,ナイトシールド,ナイトシールド,
BX,ナイトランス,ナイトランス,
BX,フェニックスウイング,フェニックスウイング,1
BX,フェニックスフェザー,フェニックスフェザー,
BX,プテラスイング,プテラスイング,
BX,ブラックシェル,ブラックシェル,
BX,ベアスクラッチ,ベアスクラッチ,
BX,ヘブンズリング,ヘブンズリング,1
BX,ヘルズサイズ,ヘルズサイズ,
BX,ヘルズチェイン,ヘルズチェイン,
BX,ホエールウェーブ,ホエールウェーブ,1
BX,マンモスタスク,マンモスタスク,
BX,ユニコーンスティング,ユニコーンスティング,
BX,ライノホーン,ライノホーン,
BX,レオンクロー,レオンクロー,
BX,ワイバーンゲイル,ワイバーンゲイル,
BXB,ストームペガシス,ストームペガシス,
BXB,ゼノエクスカリバー,ゼノエクスカリバー,
BXB,ドライガースラッシュ,ドライガースラッシュ,
BXB,ドラグーンストーム,ドラグーンストーム,
BXB,ドラシエルシールド,ドラシエルシールド,
BXB,ドランザースパイラル,ドランザースパイラル,
BXB,ビクトリーヴァルキリー,ビクトリーヴァルキリー,
BXB,ライトニングエルドラゴ（アッパー型）,ﾗｲﾄﾆﾝｸﾞｴﾙﾄﾞﾗｺﾞ（ｱｯﾊﾟｰ型）,
BXB,ライトニングエルドラゴ（連打型）,ﾗｲﾄﾆﾝｸﾞｴﾙﾄﾞﾗｺﾞ（連打型）,
BXB,ロックレオーネ,ロックレオーネ,
BXC,Hulk,Hulk,
BXC,T-レックス,T-レックス,
BXC,アイアンマン,アイアンマン,
BXC,ヴェノム,ヴェノム,
BXC,オプティマスプライマル,オプティマスプライマル,
BXC,オプティマスプライム,オプティマスプライム,
BXC,ケツァルコアトルス,ケツァルコアトルス,
BXC,サノス,サノス,
BXC,スタースクリーム,スタースクリーム,
BXC,スパイダーマン,スパイダーマン,
BXC,スピノサウルス,スピノサウルス,
BXC,ダース・ベイダー,ダース・ベイダー,
BXC,マンダロリアン,マンダロリアン,
BXC,メガトロン,メガトロン,
BXC,モササウルス,モササウルス,
BXC,モフ・ギデオン,モフ・ギデオン,
BXC,ルーク・スカイウォーカー,ﾙｰｸ･ｽｶｲｳｫｰｶｰ,
CX,アーク,アーク,
CX,アントラーズ,アントラーズ,
CX,エクリプス,エクリプス,
CX,ダーク,ダーク,
CX,ハント,ハント,
CX,ファング,ファング,
CX,フォート,フォート,
CX,ブラスト,ブラスト,1
CX,ブラッシュ,ブラッシュ,
CX,フレア,フレア,
CX,ブレイブ,ブレイブ,
CX,フレイム,フレイム,
CX,ボルト,ボルト,
CX,マイト,マイト,1
CX,リーパー,リーパー,
CX,リグル,リグル,
MB,Hurricane,Hurricane,
MB,ウィップ,ウィップ,
MB,デルタ,デルタ,
MB,トレッド,トレッド,
MB,フォートレス,フォートレス,
MB,ブリッツ,ブリッツ,
MB,レイジ,レイジ,
OB,B（ブレイク）,B,
OB,F（フロー）,F,
OB,G（ガード）,G,
OB,I,I,
OB,O（アウター）,O,
OB,P（ピーク）,P,
OB,T（タフ）,T,
RA,0-60,0-60,
RA,0-70,0-70,
RA,0-80,0-80,
RA,1-50,1-50,1
RA,1-60,1-60,1
RA,1-70,1-70,1
RA,1-80,1-80,
RA,2-60,2-60,
RA,2-70,2-70,
RA,2-80,2-80,
RA,3-60,3-60,1
RA,3-70,3-70,
RA,3-80,3-80,
RA,3-85,3-85,
RA,4-50,4-50,1
RA,4-55,4-55,1
RA,4-60,4-60,
RA,4-70,4-70,
RA,4-80,4-80,
RA,5-50,5-50,1
RA,5-60,5-60,1
RA,5-70,5-70,
RA,5-80,5-80,
RA,6-60,6-60,1
RA,6-70,6-70,
RA,6-80,6-80,
RA,7-55,7-55,
RA,7-60,7-60,1
RA,7-70,7-70,1
RA,7-80,7-80,
RA,8-70,8-70,
RA,8-80,8-80,
RA,9-60,9-60,1
RA,9-65,9-65,
RA,9-70,9-70,
RA,9-80,9-80,
RA,M-85,M-85,
RA,（ラチェットなし）※UXエクスパンドのみ,,
RAE,Op（オペレート）※ビットなし,Op,
RAE,Tr（ターボ）※ビットなし,Tr,
RC,Enlil,Enlil,
RC,ウィザード,ウィザード,
RC,ウルフ,ウルフ,
RC,エヴァ,エヴァ,
RC,エンペラー,エンペラー,1
RC,クラーケン,クラーケン,
RC,クロコ,クロコ,
RC,ケルベロス,ケルベロス,
RC,ソル,ソル,
RC,ティガ,ティガ,
RC,ドラン,ドラン,
RC,ドレイク,ドレイク,
RC,ナイト,ナイト,
RC,バックス,バックス,
RC,バハムート,バハムート,
RC,フェニックス,フェニックス,
RC,フォックス,フォックス,
RC,ブラキオ,ブラキオ,
RC,ペガサス,ペガサス,
RC,ヘルズ,ヘルズ,
RC,ペルセウス,ペルセウス,
RC,ホエール,ホエール,
RC,ホーネット,ホーネット,
RC,ユニコーン,ユニコーン,
RC,ライノ,ライノ,
RC,ラグナ,ラグナ,
RC,ワルキューレ,ワルキューレ,1
UX,インパクトドレイク,インパクトドレイク,
UX,ウィザードロッド,ウィザードロッド,1
UX,エアロペガサス,エアロペガサス,1
UX,オロチクラスタ,オロチクラスタ,1
UX,クロックミラージュ,クロックミラージュ,1
UX,ゴーストサークル,ゴーストサークル,
UX,ゴートタックル,ゴートタックル,
UX,ゴーレムロック,ゴーレムロック,1
UX,サムライセイバー,サムライセイバー,
UX,シノビシャドウ,シノビシャドウ,
UX,シャークスケイル,シャークスケイル,1
UX,シルバーウルフ,シルバーウルフ,1
UX,スコーピオスピア,スコーピオスピア,1
UX,ドランバスター,ドランバスター,1
UX,ナイトメイル,ナイトメイル,
UX,フェニックスラダー,フェニックスラダー,
UX,ヘルズハンマー,ヘルズハンマー,
UX,マミーカース,マミーカース,1
UX,メテオドラグーン,メテオドラグーン,1
UX,レオンクレスト,レオンクレスト,
UX,ワイバーンホバー,ワイバーンホバー,1
UXE,Cutter Shinobi,Cutter Shinobi,
